ship_postal_code,orders_count,customer_segment
602106.0,6,Loyal
400001.0,35,Loyal
695033.0,5,Frequent
631552.0,4,Frequent
190020.0,4,Frequent
642110.0,4,Frequent
144702.0,2,Frequent
313011.0,2,Frequent
679584.0,3,Frequent
275101.0,15,Loyal
413216.0,1,One-time
177201.0,3,Frequent
241403.0,1,One-time
326023.0,2,Frequent
521180.0,7,Loyal
273302.0,2,Frequent
285205.0,2,Frequent
206121.0,3,Frequent
403005.0,18,Loyal
793004.0,15,Loyal
600069.0,41,Loyal
733127.0,2,Frequent
562107.0,40,Loyal
759001.0,17,Loyal
229310.0,1,One-time
518003.0,13,Loyal
226019.0,3,Frequent
638301.0,10,Loyal
273202.0,1,One-time
246194.0,3,Frequent
473770.0,1,One-time
764021.0,1,One-time
444505.0,8,Loyal
574201.0,8,Loyal
620018.0,10,Loyal
441601.0,20,Loyal
712123.0,4,Frequent
533429.0,5,Frequent
160014.0,10,Loyal
403204.0,1,One-time
421301.0,239,Loyal
395017.0,22,Loyal
506011.0,3,Frequent
522309.0,1,One-time
141115.0,3,Frequent
621118.0,1,One-time
682035.0,9,Loyal
785701.0,1,One-time
711312.0,5,Frequent
522019.0,11,Loyal
673503.0,3,Frequent
176402.0,2,Frequent
484117.0,1,One-time
412412.0,3,Frequent
160101.0,22,Loyal
414605.0,2,Frequent
785112.0,2,Frequent
370210.0,2,Frequent
560048.0,227,Loyal
517257.0,1,One-time
570029.0,9,Loyal
500010.0,183,Loyal
591220.0,8,Loyal
781025.0,8,Loyal
587311.0,1,One-time
509153.0,2,Frequent
741247.0,2,Frequent
455336.0,3,Frequent
342011.0,6,Loyal
768217.0,1,One-time
678013.0,6,Loyal
524306.0,1,One-time
396580.0,6,Loyal
848208.0,2,Frequent
306401.0,14,Loyal
756130.0,1,One-time
176302.0,2,Frequent
731219.0,2,Frequent
440014.0,17,Loyal
180009.0,2,Frequent
486888.0,3,Frequent
364002.0,12,Loyal
