item1,item2,item1_name,item2_name,pair_count
JNE3399-KR-M,JNE3510-KR-M,Stylish Kurta,Designer Kurta,3
MEN5004-KR-L,MEN5009-KR-L,Stylish Kurta,Cotton Kurta,3
JNE3613-KR-L,JNE3364-KR-1051-A-L,Cotton Kurta,Cotton Kurta,3
JNE3784-KR-XXL,JNE3257-KR-XXL,Cotton Kurta,Cotton Kurta,3
JNE3399-KR-M,JNE3718-KR-M,Stylish Kurta,Casual Kurta,3
MEN5004-KR-XXXL,MEN5014-KR-XXXL,Casual Kurta,Designer Kurta,3
JNE3487-KR-S,JNE3482-KR-S,Casual Kurta,Casual Kurta,3
J0337-TP-XS,J0340-TP-XS,Formal Top,Formal Top,3
MEN5007-KR-M,MEN5015-KR-M,Cotton Kurta,Casual Kurta,3
SET304-KR-DPT-S,SET305-KR-DPT-S,Designer Set,Formal Set,3
JNE3257-KR-XXL,JNE3780-KR-XXL,Cotton Kurta,Casual Kurta,3
MEN5008-KR-L,MEN5009-KR-L,Cotton Kurta,Cotton Kurta,3
MEN5008-KR-L,MEN5027-KR-L,Cotton Kurta,Casual Kurta,3
SET304-KR-DPT-XXXL,SET316-KR-DPT-XXXL,Elegant Set,Elegant Set,3
JNE3257-KR-XXL,JNE3784-KR-XXL,Cotton Kurta,Cotton Kurta,3
SET305-KR-DPT-S,SET304-KR-DPT-S,Formal Set,Designer Set,3
J0337-TP-XXL,J0344-TP-XXL,Summer Top,Formal Top,3
JNE3787-KR-M,JNE3543-KR-M,Cotton Kurta,Casual Kurta,3
MEN5009-KR-L,MEN5002-KR-L,Cotton Kurta,Cotton Kurta,3
SET307-KR-DPT-XXXL,SET333-KR-DPT-XXXL,Elegant Set,Formal Set,3
MEN5009-KR-L,MEN5004-KR-L,Cotton Kurta,Stylish Kurta,3
MEN5009-KR-L,MEN5008-KR-L,Cotton Kurta,Cotton Kurta,3
SET316-KR-DPT-XXXL,SET304-KR-DPT-XXXL,Elegant Set,Elegant Set,3
JNE3405-KR-L,JNE3440-KR-N-L,Designer Kurta,Stylish Kurta,3
JNE3405-KR-L,JNE3567-KR-L,Designer Kurta,Cotton Kurta,3
JNE3714-KR-S,JNE3725-KR-S,Designer Kurta,Designer Kurta,3
JNE3506-KR-XL,JNE3610-KR-XL,Cotton Kurta,Designer Kurta,3
SET322-KR-SHA-XXL,SET324-KR-NP-XXL,Casual Set,Designer Set,3
JNE3405-KR-M,JNE3440-KR-N-M,Designer Kurta,Casual Kurta,3
JNE3376-KR-XXXL,JNE3634-KR-XXXL,Casual Kurta,Cotton Kurta,2
JNE3376-KR-XXXL,JNE3878-KR-XXXL,Casual Kurta,Designer Kurta,2
JNE3384-KR-XL,JNE3449-KR-XL,Cotton Kurta,Cotton Kurta,2
JNE3396-KR-XL,JNE3619-KR-XL,Designer Kurta,Designer Kurta,2
JNE3396-KR-XL,JNE3633-KR-XL,Designer Kurta,Designer Kurta,2
JNE3396-KR-XL,JNE3635-KR-XL,Designer Kurta,Cotton Kurta,2
JNE3396-KR-XXL,JNE3775-KR-XXL,Cotton Kurta,Designer Kurta,2
JNE3399-KR-L,JNE3461-KR-L,Cotton Kurta,Designer Kurta,2
JNE3399-KR-L,JNE3510-KR-L,Cotton Kurta,Stylish Kurta,2
JNE3399-KR-M,JNE3522-KR-M,Stylish Kurta,Cotton Kurta,2
JNE3399-KR-M,SET345-KR-NP-M,Stylish Kurta,Elegant Set,2
JNE3399-KR-XL,JNE3510-KR-XL,Designer Kurta,Cotton Kurta,2
JNE3399-KR-XXXL,JNE3368-KR-XXXL,Designer Kurta,Designer Kurta,2
